"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled"
"c2","none","¡Hola! %first_name%, como se encuentra este %day_of_week%, 🖐 somos  *DRY CLEANERS PANAMÁ* 👗👚👔👖, felicidades, usted ha elegido la opción C2: Precios COMBO x MES.<#>%first_name%, Elige entre estas opciones COMBOS del MES.\n\n(C2A): Combo 1 👗👚👔👖\n(C2B): Combo 2 👗👚👔👖\n(C2C): Combo 3 👗👚👔👖\n\nSi desea solicitar el servicio (C2A): Combo 1 👗👚👔👖. Solo debe escribir la palabra C2A","all","3","4","c","","","","","0","","","","","","","","seconds","0","0"
"c2a","none","%first_name%, Disfruta del COMBO 1 en *DRY CLEANERS PANAMÁ* 👗👚👔👖 \n\nLavandería de 30 Kg de ropa al MES (3 bolsas o maletas x 10 kg cada una) por $ 15,oo Balboas al mes. El servicio incluye jabón (detergente industrial + neutralizante (suavizante)<#>Además incluye productos anti gérmenes (anti Virus 🦠, Bacterias , Hongos). Implementamos normas de bioseguridad  antes de cada proceso de lavado. \n\nPromoción exclusiva para miembros 💳 afiliados platinum. \n\n*La pieza 👕👖adicional, tiene un precio $ 0,75* \n*No se acepta ropa interior, sabanas, colchas, toallas en esta promoción*<#>%first_name% llama ahora al 📞 385 2383 e iremos a buscar 🚚 tu ropa 👔👕👖👗 dónde te encuentres<#>%first_name% recuerda la opción DRY0 para acceder al menú principal","all","3","4","c","","","","","0","","","","","","","","seconds","0","0"
"c2b","none","%first_name%, Disfruta del COMBO 2 en *DRY CLEANERS PANAMÁ*  👗👚👔👖\n\nLavandería de 30 Kg de ropa por MES (3 bolsas o maletas x 10 kg cada una) + 20 Prendas planchadas por $ 30,oo Balboas al mes. El servicio incluye jabón (detergente industrial + neutralizante (suavizante)<#>Además incluye productos anti gérmenes (anti Virus🦠, Bacterias, Hongos). Implementamos normas de bioseguridad antes de cada proceso de lavado.\n\nPromoción exclusiva para miembros 💳afiliados platinum\n \n*La pieza 👕👖adicional en cualquier promoción, tiene un precio $ 0,75* \n*No incluye gancho* \n*No se acepta ropa interior, sabanas, colchas, toallas en esta promoción*<#>%first_name% llama ahora al 📞 385 2383 e iremos a buscar 🚚 tu ropa 👔👕👖👗 dónde te encuentres<#>%first_name% recuerda la opción DRY0 para acceder al menú principal","all","3","4","c","","","","","0","","","","","","","","seconds","0","0"
"c2c","none","%first_name%, Disfruta del COMBO 3 en *DRY CLEANERS PANAMÁ* 👗👚👔👖\n\nLavandería de 40 Kg de ropa por MES (4 bolsas o maletas x 10 kg cada una) + 30 Prendas planchadas por $ 40,oo Balboas al mes. El servicio incluye jabón (detergente industrial + neutralizante (suavizante).<#>Además incluye productos anti gérmenes (anti Virus🦠, Bacterias, Hongos). Implementamos normas de bioseguridad antes de cada proceso de lavado.\n\nPromoción exclusiva para miembros💳 afiliados platinum.\n \n*La pieza 👖👕adicional en cualquier promoción, tiene un precio $ 0,75* \n*No incluye gancho* \n*No se acepta ropa interior, sabanas, colchas, toallas en esta promoción*<#>%first_name% llama ahora al 📞 385 2383 e iremos a buscar 🚚 tu ropa 👔👕👖👗 dónde te encuentres<#>%first_name% recuerda la opción DRY0 para acceder al menú principal","all","3","4","c","","","","","0","","","","","","","","seconds","0","0"
"c3","none","¡Hola! %first_name%🖐 somos  *DRY CLEANERS PANAMÁ* 👗👚👔👖, felicidades, usted ha elegido la opción C3: Promociones<#>*Consulte nuestras promociones 👕👖👔👗del mes o por temporada en el link*, http://bit.ly/2NHn7lp<#>Las promociones👖👕, horarios de atención ⏰están sujetas a cambio, de acuerdo a los decretos de movilidad y disposiciones gubernamentales 🌎 emitidas por la autoridad de salud pública ⚕️ ante la Pandemia en cada país.","all","3","3","c","","","","","0","","","","","","","","seconds","0","0"
"p","none","¡Hola! %first_name%, 🖐 somos  *DRY CLEANERS PANAMÁ* 👗👚👔👖, felicidades, usted ha elegido la opción P: Plancha<#>Te va a encantar nuestro servicio de P: Plancha 👗👚👔👖, un enfoque clásico con ejecución moderna y maquinaria de última generación<#>¿VÍCTOR, estás ahí? Por favor escriba (PY)  para continuar","all","4","5","c","","","","","0","","","","","","","","seconds","0","0"
"py","none","%first_name%, que bueno👍 saber qué sigues conectado con DRY CLEANERS PANAMA 👕👖👗 ..., revisa la información que estoy enviando<#>Para conocer más sobre nuestro servicio de PLANCHA, (planchado profesional), las prendas 👗👚👔👖  que planchamos a vapor, sus precios, promociones y política del servicio, lo puedes saber, ingresando al sitio web oficial  http://bit.ly/2YvsyGj<#>👗👚👔👖 espera, estoy enviando  información<#>Te va a encantar nuestro  servicio de P: Plancha 👗👚👔👖, conoce nuestros precios y packs de plancha profesional a vapor, a otro nivel. Precios exclusivos para miembros💳 Platinum \n \n➡️Precio de plancha $ 0,50 centavos  \n➡️Plancha 30 piezas paga solo 20 \npiezas el día de tu cumpleaños 🎂\n➡️Plancha 20 prendas paga $ 10,oo Balboas \n➡️Plancha 50 prendas paga $ 25,oo Balboas y adicional 3 prendas 👕👖👕 planchadas GRATIS<#>*Esta promoción es válida solo para prendas 👕👖👕 sencillas, sin pliegues, sin accesorios. camisas, sweater, polo, blusa, pantalón, falda. \n*La pieza 👖👕adicional en esta promoción, tiene un precio $ 0,75* \n*No incluye gancho* \n*No se acepta ropa interior, sabanas, colchas, toallas en esta promoción*","all","4","5","c","","","","","0","","","","","","","","seconds","0","0"
"dry2","none","¡Hola! %first_name% 🖐 somos  DRY CLEANERS PANAMÁ 👗👚👔👖 , felicidades, usted ha elegido la opción DRY2 👗👚👔👖: PAGOS<#>Soy  Dolly 👦 tú asistente virtual 24/7 te guiará, para conocer más sobre nuestros métodos de pago 💸 “SEGURO y RAPIDO”<#>👗👚👔👖 espera, estoy enviando  información<#>Elige las opciones de 💸 PAGOS que quieres conocer:\n \n(P1): ➡️Pago On - Line \n(P2): ➡️Pago por ACH \n(P3): ➡️Pago Yappy\n \nEjemplo: quieres realizar un PAGO On – Line, escribe la palabra P1","all","3","4","c","","","","","0","","","","","","","","seconds","0","0"
"p1","none","%first_name%, para conocer como realizar pago 💸 on – line, debes visitar el 🌐sitio oficial: http://bit.ly/2YtN8ab<#>Descarga 📲 nuestra aplicación y regístrate, para que empieces a disfrutar tu lavandería 👗👖👕👚DRY CLEANERS PANAMÁ \nClick en este enlace http://bit.ly/3j62xXO\n\nDRY CLEANERS PANAMÁ 👗👚👕👖On- Line 24/7<#>Espere Dolly 👦 esta enviando informacion<#>Sigue estos 2 pasos: \n1️⃣ Realiza el pago seguro de tu orden de trabajo \n2️⃣ Envía el comprobante de pago vía WhatsApp o Telegram \nDRY CLEANERS PANAMÁ 👗👚👔👖 confirmará el proceso de  💸pago y verificará los fondos, y contactarte para programar tu recolección. \nDe esa manera podremos empezar a trabajar tus prendas👖👗👕<#>VÍCTOR, ha comprendido la información❓ Por favor escriba:\n\nSP1: Si he comprendido\nNP1: No he comprendido","all","4","4","c","","","","","0","","","","","","","","seconds","0","0"
"sp1","none","Felicidades %first_name%🖐 !  ya puedes empezar a lavar y planchar  tu ropa en  *DRY CLEANERS PANAMÁ* 👗👚👔👖..., Llama AHORA 📞 385 2383","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"np1","none","%first_name%, necesitas CONTACTAR con un ASESOR PERSONAL ❓ en  *DRY CLEANERS PANAMÁ* 👗👚👔👖 , escribe la palabra DRY4","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"p2","none","Felicidades 🎉🎉  %first_name%, ha elegido bien;  es un método muy simple, seguro y cómodo de 💸pago  P2: Pago por ACH, de su orden de trabajo<#>👗👚👔👖 RECUERDA, que lo debes hacer 🆗 exclusivamente de la siguiente manera<#>a nombre de: DRY CLEANERS PANAMA o CAPESANT S.A.\nBanco General Cta. Cte. #   03-3101- 132500-0<#>👗👚👔👖 espera, un momento, aún no hemos terminado, estoy 📨 enviando información<#>Una vez realizado el 💸pago por ACH, debes enviar el 🎟️comprobante de transacción de pago vía WhatsApp o Telegram<#>%first_name%, ha comprendido como hacer su 💸pago ACH❓ Por favor escriba:\nSP2: Si\nNP2: No","all","4","4","c","","","","","0","","","","","","","","seconds","0","0"
"sp2","none","Felicidades %first_name% 🖐 ! Una vez, confirmado el proceso de 💸pago y verificado los 💰 fondos, programamos tu 🚚 recolección y empezamos a trabajar tus 👚👕👗👖 prendas.<#>👗👚👔👖 esto es IMPORTANTE ❗<#>Considera que las transacciones por ACH 🏦 Banco General, el  💸pago se reflejan el mismo día, de otros bancos el pago se refleja de 🕔24 a 48 horas posteriores.","all","4","4","c","","","","","0","","","","","","","","seconds","0","0"
"np2","none","%first_name%, necesitas CONTACTAR con un ASESOR PERSONAL ❓ en  *DRY CLEANERS PANAMÁ* 👗👚👔👖 , escribe la palabra DRY4","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"p3","none","Felicidades 🎉🎉🎉 %first_name%, ha elegido bien, es un método muy simple , seguro y  cómodo de pago 💸 P3: Pago Yappy, de tu orden de trabajo<#>Sigue estos 3 pasos: \n1️⃣ Registra el número 📲 66 32 34 78 en Yappy como DRY CLEANERS PANAMA \n2️⃣ Realiza el 💸pago por YAPPY al número de teléfono corporativo registrado en el Banco General, 📞 66 32 34 78 \n3️⃣ Envía el 🎟️comprobante de 💸pago vía WhatsApp o Telegram<#>👗👚👔👖 espera, estoy enviando  información<#>*DRY CLEANERS PANAMÁ* 👗👚👔👖 confirmará el proceso de 💸 pago y verificará los 💰fondos, para contactarte y programar tu🚚 recolección. De esa manera podremos empezar a trabajar tus prendas👚👖👗👕","all","4","4","c","","","","","0","","","","","","","","seconds","0","0"
"dry3","none","¡Hola! %first_name%🖐, somos “DRY CLEANERS PANAMÁ” 👗👚👔👖 y gracias por contactarnos, usted ha elegido la opción DRY3  👗👚👔👖: DELIVERY 🚚🚙🚘<#>Soy  Dolly 👦 tú asistente virtual 🕔 24/7 y te comento que hemos implementados en nuestro sistema de DELIVERY 🚚🚙🚘  los *protocolos de BIO ♻️SEGURIDAD ANTI VIRAL🦠*, para SEGURIDAD de usted, de nuestros colaboradores y para sus prendas 👕👚👖👗<#>para “DRY CLEANERS PANAMÁ” 👗👚👔👖 su seguridad, y su salud. No tiene precio<#>👗👚👔👖 Desea continuar y conocer las opciones de DELIVERY. \n(D3): Si\n(D4): NO\nEscriba D3 (SI) o D4 (NO)","all","5","6","c","","","","","0","","","","","","","","seconds","0","0"
"d3","none","Excelente 🎉🎉🎉 %first_name%\nAhora elige entre estas opciones de DELIVERY 🚚🚙🚘\n \n⏺️ R: Delivery sólo Recolección GRATIS 🚘  \n⏺️ E: sólo Entrega GRATIS 🚚\n⏺️ RE: Recolección y Entrega GRATIS 🚚🚙\n \nEjemplo: para solicitar DELIVERY  sólo Recolección GRATIS 🚚🚙🚘, escribe la palabra R","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"d4","none","%first_name%, necesitas CONTACTAR con un ASESOR PERSONAL ❓ en  *DRY CLEANERS PANAMÁ* 👗👚👔👖 , escribe la palabra DRY4","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"r","none","¡Felicidades! 🎉🎉🎉%first_name%🖐,  ha elegido la opción R: Delivery Sólo Recolección GRATIS 🚚🚙🚘 de sus prendas<#>Te comento, que el servicio elegido R: Delivery Sólo Recolección GRATIS 🚚🚙🚘 de sus prendas, aplica si se cumplen estos 2 puntos: \n \n1️⃣ En órdenes o pedidos superiores a $ 40 Balboas  \n2️⃣ tu ubicación debe estar dentro o hasta 3 km de distancia a nuestra moderna planta de lavandería 👚👗👖👕Dry Cleaners Panamá Plaza Edison – Ciudad de Panamá<#>👗👚👔👖 cuéntame, te encuentras a mayor distancia, de la planta de lavandería 👚👗👖👕Dry Cleaners Panamá Plaza Edison ❓<#>👗👚👔👖 Elija la opción:\nRSI: SI\nRNO: No","all","5","5","c","","","","","0","","","","","","","","seconds","0","0"
"rsi","none","🆗, lo he comprendido %first_name%, Te encuentras a mayor distancia. GRACIAS por comentármelo👍<#>Tu servicio de 🚚DELIVERY *SI* tiene costo adicional y lo puedes consultar comunicándote con nuestros asesores 👕👗👚en nuestra tienda al 📞385 23 83 de Lunes a Viernes de 10:00 am – 6:00 pm<#>👗👚👔👖 también puedes cotizar el 🚚DELIVERY, utilizando cualquier plataforma de transporte, que te permita saber el valor estimado del delivery 🚘(Uber, inDrive)<#>Espero haber respondido👍 tus preguntas sobre la opción R: Delivery Sólo Recolección GRATIS 🚚🚙🚘 de tus prendas<#>Qué tengas un excelente día, y quédate en  🏠casa, que “DRY CLEANERS PANAMÁ” 👗 👚👔👖, va donde usted lo requiera por sus prendas. \n \nMejor imposible \n*consulte por nuestro SERVICIO DE DELIVERY 🚚GRATIS en el sitio web*, http://bit.ly/2YtN8ab","all","5","5","c","","","","","0","","","","","","","","seconds","0","0"
"rno","none","%first_name%, necesitas CONTACTAR con un ASESOR PERSONAL ❓ en  *DRY CLEANERS PANAMÁ* 👗👚👔👖 , escribe la palabra DRY4","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"e","none","¡Felicidades! 🎉🎉🎉%first_name%🖐,  ha elegido la opción E: Delivery Sólo Entrega GRATIS 🚚🚙🚘 de sus prendas<#>Te comento, que el servicio elegido R: Delivery Sólo Entrega GRATIS 🚚🚙🚘 de sus prendas, aplica si se cumplen estos 2 puntos: \n \n1️⃣ En órdenes o pedidos superiores a $ 40 Balboas\n2️⃣ Su ubicación debe estar dentro o hasta 3 km de distancia a nuestra moderna planta de lavandería 👚👗👖👕 Dry Cleaners Panamá Plaza Edison Ciudad de Panamá<#>👗👚👔👖 cuéntame, te encuentras a mayor distancia, de la planta de lavandería 👚👗👖👕Dry Cleaners Panamá Plaza Edison ❓<#>👗👚👔👖 Elija la opción:\nESI: Si\nENO: No","all","5","5","c","","","","","0","","","","","","","","seconds","0","0"
"esi","none","🆗, lo he comprendido %first_name%, Te encuentras a mayor distancia. GRACIAS por comentármelo👍<#>Tu servicio de 🚚DELIVERY *SI* tiene costo adicional y lo puedes consultar comunicándote con nuestros asesores 👕👗👚en nuestra tienda al 📞385 23 83 de Lunes a Viernes de 10:00 am – 6:00 pm<#>👗👚👔👖 también puedes cotizar el 🚚DELIVERY, utilizando cualquier plataforma de transporte, que te permita saber el valor estimado del delivery 🚘(Uber, inDrive)<#>Espero haber respondido👍 tus preguntas sobre la opción E: Delivery Sólo Entrega GRATIS  🚚🚙🚘 de tus prendas<#>Qué tengas un excelente día, y quédate en  🏠casa, que “DRY CLEANERS PANAMÁ” 👗 👚👔👖, va donde usted lo requiera por sus prendas. \n \nMejor imposible \n*consulte por nuestro SERVICIO DE DELIVERY 🚚GRATIS en el sitio web*, http://bit.ly/2YtN8ab","all","5","5","c","","","","","0","","","","","","","","seconds","0","0"
"eno","none","%first_name%, necesitas CONTACTAR con un ASESOR PERSONAL ❓ en  *DRY CLEANERS PANAMÁ* 👗👚👔👖 , escribe la palabra DRY4","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"re","none","¡Felicidades! 🎉🎉🎉%first_name%🖐,  ha elegido la opción RE: Recolección y Entrega GRATIS 🚚🚙🚘 de sus prendas<#>Te comento, que el servicio elegido RE: Recolección y Entrega GRATIS 🚚🚙🚘 de sus prendas, aplica si se cumplen estos 2 puntos: \n \n1️⃣ En órdenes o pedidos superiores a $ 40 Balboas\n2️⃣ Su ubicación debe estar dentro o hasta 3 km de distancia a nuestra moderna planta de lavandería 👚👗👖👕 Dry Cleaners Panamá Plaza Edison Ciudad de Panamá<#>👗👚👔👖 cuéntame, te encuentras a mayor distancia, de la planta de lavandería 👚👗👖👕Dry Cleaners Panamá Plaza Edison ❓<#>👗👚👔👖 Elija la opción:\nRESI: Si\nRESI No","all","5","5","c","","","","","0","","","","","","","","seconds","0","0"
"resi","none","🆗, lo he comprendido %first_name%, Te encuentras a mayor distancia. GRACIAS por comentármelo👍<#>Tu servicio de 🚚DELIVERY *SI* tiene costo adicional y lo puedes consultar comunicándote con nuestros asesores 👕👗👚en nuestra tienda al 📞385 23 83 de Lunes a Viernes de 10:00 am – 6:00 pm<#>👗👚👔👖 también puedes cotizar el 🚚DELIVERY, utilizando cualquier plataforma de transporte, que te permita saber el valor estimado del delivery 🚘(Uber, inDrive)<#>Espero haber respondido👍 tus preguntas sobre la opción RE: Recolección y Entrega GRATIS 🚚🚙🚘 de tus prendas<#>Qué tengas un excelente día, y quédate en  🏠casa, que “DRY CLEANERS PANAMÁ” 👗 👚👔👖, va donde usted lo requiera por sus prendas. \n \nMejor imposible \n*consulte por nuestro SERVICIO DE DELIVERY 🚚GRATIS en el sitio web*, http://bit.ly/2YtN8ab","all","5","5","c","","","","","0","","","","","","","","seconds","0","0"
"reno","none","%first_name%, necesitas CONTACTAR con un ASESOR PERSONAL ❓ en  *DRY CLEANERS PANAMÁ* 👗👚👔👖 , escribe la palabra DRY4","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"dry4","none","%first_name%, en *DRY CLEANERS PANAMÁ* 👗 👗👚👔👖, sabemos que lo que menos tienes, es 🕔tiempo para lavandería, y queremos resolver tus requerimientos.<#>¡Hola!🖐, Soy  Dolly 👦 tú asistente virtual 24/7 👗👚👔👖<#>te envío el número de teléfono 📞385 2383 para que seas atendido por un operador y asesor de limpieza profesional en nuestra tienda matriz Ciudad Panamá – Plaza Edison local 23 👕👗👚 GoogleMaps: https://goo.gl/maps/rTHUWR95YoUncquWA<#>Por favor contáctanos llamando al 📞385 23 83 en 🏪 horarios de Lunes a Viernes de 10:00 am – 6:00 pm  \nMejor imposible \n*visite nuestra tienda 👚👗👕👖virtual y conozca los modelos exitosos de negocios, que pusieron jaque mate al coronavirus en Panamá, en el enlace web*, https://bit.ly/3oBZx6z","all","5","5","c","","","","","0","","","","","","","","seconds","0","0"
"dry5","none","Somos “DRY CLEANERS PANAMÁ” 👗👔👔👚 y gracias por contactarnos, usted ha elegido la opción DRY5 LISTA DE PRECIOS<#>¡Hola!🖐, Soy  Dolly 👦 tú asistente virtual 24/7 👗👚👔👖, te envío la información<#>He enviado 📩el link para que consulte LISTA OFICIAL de precios en el sitio web 🌐\nMejor imposible: http://bit.ly/2YvVPAJ<#>Quieres tener nuestra 🗂️ lista de precios  en tu 📱móvil ❓<#>👗👚👔👖  espero Tu respuesta, elija la opción:\nLSI: Si\nLNO: No","all","3","4","c","","","","","0","","","","","","","","seconds","0","0"
"lsi","none","👗👚👔👖  por favor, elija la lista de precios que deseas :\nLX: Dry Cleaning / Limpieza en Seco \nLY: Plancha Profesional a Vapor","all","3","3","c","","","","","0","","","","","","","","seconds","0","0"
"lno","none","%first_name%, necesitas CONTACTAR con un ASESOR PERSONAL ❓ en  *DRY CLEANERS PANAMÁ* 👗👚👔👖 , escribe la palabra DRY4","single","","","c","","","","","0","","","","","","","","seconds","0","0"
